"","Species","Range_size_km","Bill_Nares","Bill_Width","Bill_Depth","Tarsus_Length","Secondary1","Wing_Chord","Hand.Wing.Index..Claramunt.2011.","Tail_Length","Mass","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial"
"549","Abroscopus_schisticeps",1556508.33507249,4.675,2.6,2.325,16.525,39.525,47.125,16.12581814,47.5,4.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
"1","Accipiter_badius",25153174.6947715,12.0875,8.8125,11.75,43.1625,127.4125,189.9375,32.93687093,142.5,131.15,10,30,60,0,0,0,0,0,0,0,0,0,50,0,50,0,0
"550","Accipiter_bicolor",17071783.4190752,14.7825,9.5675,13.628,59.382,189.61,236,19.76708869,191.1,287.54,0,100,0,0,0,0,0,0,0,0,0,0,0,33,33,33,0
"2","Accipiter_cooperii",9700159.94417177,13.9,8.325,13.275,61.35,163.5,241.25,32.25656531,189.25,429.67,0,90,10,0,0,0,0,0,0,0,0,0,40,20,20,10,10
"3","Accipiter_gentilis",45873413.6512547,19.625,11.575,17.95,71.75,218.25,343.75,36.49091967,234,866.04,0,90,10,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"551","Accipiter_gularis",5964539.93999778,9.5,6.75,8.825,42.225,109.05,163.25,33.17742543,104,120.66,10,80,10,0,0,0,0,0,0,0,0,0,10,10,60,10,10
"552","Accipiter_melanoleucus",11343832.7460084,18.05,10.525,16.125,75.775,200.75,308,35.02416184,220.5,698.99,0,90,10,0,0,0,0,0,0,0,0,0,10,30,40,20,0
"4","Accipiter_nisus",29225000.4993211,11.3,9.025,10.65,52.65,136.65,212.25,35.51488815,170,220.79,0,100,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20
"553","Accipiter_poliogaster",7408979.67494507,14.95,8.225,13.2,54.7,172.2,244.75,29.63450404,174.25,1369.41,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33,33,33
"554","Accipiter_soloensis",3374510.07043714,11.425,8.6,9.475,38.15,114.4,187.5,38.99291154,121,164.77,10,20,70,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"5","Accipiter_striatus",19325607.4882601,10.5,8.725,10.4,49.775,124.225,184.25,32.52265538,144.25,130.59,0,100,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25
"555","Accipiter_superciliosus",10347667.411562,10.8,6.725,10.25,35.75,105.175,143.75,26.8397185,101.5,99.51,0,80,20,0,0,0,0,0,0,0,0,0,0,0,33,33,33
"556","Accipiter_trivirgatus",6761472.20755491,16.4875,10.375,14.225,55.7625,171,222.625,23.22326483,178.375,265.04,20,60,20,0,0,0,0,0,0,0,0,0,33,33,33,0,0
"557","Accipiter_virgatus",7284459.00813927,11.15,7.375,10.0875,47.5,123.1142857,170.4285714,27.55442673,124.875,116.99,20,60,20,0,0,0,0,0,0,0,0,0,50,0,30,20,0
"558","Acridotheres_cristatellus",4507648.13836991,15.075,6,8.125,38.275,100.25,131.375,23.69860618,79.25,116.31,50,0,0,0,0,10,40,0,0,0,0,0,0,50,50,0,0
"6","Acridotheres_fuscus",3760524.13753512,16.125,6.825,7.275,36.75,93.55,124.25,24.7162719,75.875,82.8,40,0,0,0,0,0,30,10,20,0,0,0,50,30,20,0,0
"7","Acridotheres_ginginianus",2428153.00271308,14.2,5.375,6.525,34.925,90.525,119.625,24.33165815,76.75,72,40,0,10,0,0,0,20,10,20,0,0,0,50,30,20,0,0
"8","Acridotheres_tristis",15253781.6837105,15.75,6.625,8.25,38.175,108.25,138.5,21.84696376,82.875,116.43,40,10,10,10,0,0,10,10,10,0,0,0,70,20,10,0,0
"559","Acrocephalus_arundinaceus",21454910.8906393,12.9,4.6125,5.1,27.33111111,64.2125,87.22222222,25.05695573,75.22222222,30,70,0,20,0,0,0,10,0,0,0,0,20,20,60,0,0,0
"560","Acrocephalus_australis",8791159.07648945,10.575,3.675,3.875,23.8,54.95,71.25,22.8681294,66.25,17.7,100,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0
"561","Acrocephalus_gracilirostris",7408979.67494507,9.9,3.625,3.55,23.475,54.95,62.875,12.61486906,56.625,14.4,80,0,20,0,0,0,0,0,0,0,0,20,20,60,0,0,0
"562","Acrocephalus_melanopogon",4482744.00500875,7.225,2.6,2.45,18.725,43.9,53.75,18.33221024,48.25,10.9,90,0,0,0,0,0,10,0,0,0,0,0,40,60,0,0,0
"563","Acrocephalus_scirpaceus",17445345.4194926,8.775,3.425,2.85,21.9,50.75,65.25,22.22282925,50.25,12.3,70,0,0,0,0,0,10,0,10,10,0,0,20,80,0,0,0
"9","Acrocephalus_stentoreus",8019130.94229349,15.75,4.175,4.75,27.525,61.4,77.625,20.85264587,76.25,24.2,80,0,10,0,0,0,0,0,10,0,0,20,20,60,0,0,0
"564","Actinodura_egertoni",759576.067515378,8.875,4.05,5.075,28.025,74.625,83.75,10.8499953,110.25,36,60,0,0,0,0,0,20,0,20,0,0,0,0,0,80,20,0
"565","Actinodura_nipalensis",323753.733695078,10.25,3.95,4.925,30.35,73.175,87.75,16.57097052,83.75,43.87,60,0,0,0,0,0,10,10,10,10,0,0,0,20,80,0,0
"566","Actinodura_ramsayi",834288.467598858,10.45,4.65,6.25,28.025,81.475,88.25,7.661138435,127.25,38.4,80,0,0,0,0,0,0,0,0,20,0,0,0,50,50,0,0
"10","Aegithalos_caudatus",27319834.2971923,4.5375,2.6125,3.3,15.63888889,46.25,59.11111111,21.08594714,76.44444444,8.6,60,0,0,0,0,0,10,10,10,10,0,0,10,40,10,40,0
"567","Aegithalos_concinnus",4457839.87164759,4.35,2.425,3.05,15,39.95,48.5,17.63180272,50.875,6.1,70,0,0,0,0,0,20,0,10,0,0,0,0,80,0,20,0
"568","Aegithina_tiphia",8778707.00980888,10.675,4.2,4.4125,20.0875,55.35,61.125,9.442634919,48.8125,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0
"569","Aegolius_acadicus",13149382.4146924,9.925,7.35,10.85,23.5,95.05,135.25,29.78209542,78,100.69,20,80,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0
"570","Aegolius_funereus",30407946.8339761,10.975,7.9,10.475,25.9,111.75,168.25,33.59557976,101.25,137.18,30,70,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0
"571","Aegolius_harrisii",2091947.20233743,12.63333333,7.583333333,12.4,28.15,109.56,150.12,27.06664675,72.91666667,120,50,50,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0
"572","Aegypius_monachus",21417554.6905975,59.9,27.875,39.825,134.25,432,734.25,41.16728067,371,9320.55,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0
"573","Aeronautes_saxatalis",3150372.87018671,2.991666667,2.915,2.476666667,10.59833333,42.14833333,140.3333333,69.84621727,63.66666667,32.1,100,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,90
"574","Aethopyga_bella",784480.200876537,10.7,2.975,2.975,12.4,34.025,40.5,15.83878767,26,4,50,0,0,0,0,0,0,50,0,0,0,0,0,40,30,30,0
"575","Aethopyga_christinae",2428153.00271308,11.95,3.25,3.25,13.625,38.375,46.875,18.09994156,37.75,5.2,20,0,0,0,0,0,0,30,50,0,0,0,0,50,50,0,0
"576","Aethopyga_flagrans",373562.000417398,13.75,2.975,3.075,15.125,38.775,44.875,13.68280458,30.75,6.7,50,0,0,0,0,0,0,50,0,0,0,0,0,50,50,0,0
"577","Aethopyga_gouldiae",4420483.67160585,11.775,3.175,2.875,13.9,43,54.5,21.12609956,57.625,5,50,0,0,0,0,0,0,50,0,0,0,0,20,30,30,20,0
"578","Aethopyga_ignicauda",1469343.86830844,15.05,3.5,2.95,14.925,46,54.75,16.01189807,74.5,8.2,50,0,0,0,0,0,0,50,0,0,0,0,0,70,10,0,20
"579","Aethopyga_nipalensis",2029686.86893453,16.375,3.4,3.175,13.225,40.625,49.75,18.29359049,53.75,6.9,50,0,0,0,0,0,0,50,0,0,0,0,0,30,40,30,0
"580","Aethopyga_pulcherrima",560343.000626099,15.15,3.625,3.125,14.875,38.275,45.875,16.58131837,26.5,6.2,50,0,0,0,0,0,0,50,0,0,0,0,0,50,50,0,0
"581","Aethopyga_saturata",3312249.73703425,15.45,3.325,3.225,13.875,42.425,50.625,16.24088176,60.5,5.3,40,0,0,0,0,0,0,60,0,0,0,0,10,30,30,30,0
"11","Aethopyga_siparaja",7570856.54179261,15.05833333,3.583333333,2.958333333,13.7,43.4,52.16666667,16.84012421,46.5,6.7,50,0,0,0,0,0,0,50,0,0,0,0,0,70,10,20,0
"12","Agelaioides_badius",4632168.80517571,11.625,4.925,8.846666667,23.71444444,73.21888889,88.25111111,17.00005415,68.89111111,45.25,60,0,0,0,0,0,0,0,40,0,0,0,50,30,20,0,0
"13","Agelaius_phoeniceus",11580422.0129394,15.36666667,5.583333333,8.875,28.525,88.925,116.6666667,23.98514879,87.25,50.78,50,0,0,0,0,0,0,0,50,0,0,0,90,10,0,0,0
"582","Agelaius_tricolor",273945.466972759,14.65,4.925,7.35,26.675,77.925,113.25,31.16671448,83,57.92,70,0,0,0,0,0,0,0,30,0,0,0,100,0,0,0,0
"583","Agelasticus_cyanopus",4059373.73786903,16.525,5.125,7.85,24.85,74.325,87.75,15.28554034,80.75,37.21,40,0,0,0,0,0,0,0,60,0,0,0,70,30,0,0,0
"14","Agelasticus_thilius",3399414.20379831,15.5,4.5,7.2,26.5,75.2,92,18.34271025,73.75,31.5,50,0,0,0,0,0,0,0,50,0,0,0,70,30,0,0,0
"584","Agriornis_lividus",1108233.93457162,19.15,7.1,7.55,36.64,99.35,127.8,21.75135433,106.6,99.1,40,30,30,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"585","Agriornis_micropterus",3573743.13732642,17.65,6.3,7.1,33.375,89.45,121.25,26.23145955,100.875,67.79,40,30,30,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"586","Agriornis_montanus",3050756.33674207,17.4,5.7,5.65,31.85,95.975,128.875,25.47553998,94.66666667,63.3,30,30,20,0,0,0,0,0,20,0,0,0,100,0,0,0,0
"587","Aimophila_botterii",1867810.00208699,8.625,4.875,6.825,21.1,55.425,62.625,11.50371338,63.75,19.9,80,0,0,0,0,0,0,0,20,0,0,0,70,30,0,0,0
"15","Aimophila_carpalis",373562.000417398,7.475,3.95,5.9,18.38,52.8,61.6,13.44835195,63.8,15.3,20,0,0,0,0,0,0,0,80,0,0,0,60,20,20,0,0
"16","Aimophila_cassinii",2154207.53574033,7.8,4.6,5.225,19.225,56.2,67.25,16.44544518,64.875,18.9,60,0,0,0,0,0,0,0,30,10,0,0,70,30,0,0,0
"17","Aimophila_rufescens",1357275.26818321,11.65,6.2,9.4,25.775,66.575,73.25,9.123655021,75,34.3,60,0,0,0,0,0,0,0,40,0,0,0,100,0,0,0,0
"18","Aimophila_ruficeps",2639838.13628294,8.2,4.125,4.975,19.825,52.225,59.875,12.79795442,62,18.69,50,0,0,0,0,0,0,0,50,0,0,0,60,20,20,0,0
"588","Alaemon_alaudipes",14556465.949598,19.15,4.925,4.925,30.326,86.9,121.6,27.99996545,89.2,43.72,70,0,10,0,0,0,0,0,10,10,0,0,100,0,0,0,0
"19","Alauda_arvensis",19126374.4213709,8.7,4.625,4.7,22.325,71.175,111.25,36.037405,70.25,37.31,40,0,0,0,0,0,0,0,40,20,0,0,100,0,0,0,0
"20","Alauda_gulgula",10746133.5453405,9.15,4.175,4.7,23.325,62.725,86.25,27.21062444,50.75,26.3,50,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0
"21","Alcedo_atthis",28017150.0313048,32.475,5.6,7.25,9.125,52.575,71.9,26.86175947,32,31.09,30,0,0,70,0,0,0,0,0,0,100,0,0,0,0,0,0
"589","Alcedo_cristata",17009523.0856723,26.58888889,5.522222222,6.666666667,8.455555556,44.22222222,56.24444444,21.39656057,26.11111111,15.7,40,0,30,30,0,0,0,0,0,0,60,20,10,10,0,0,0
"590","Alcedo_cyanopectus",448274.400500878,30.524,6.238,7.53,9.696,44.76,57.42714286,23.87094737,24.914,21.5,50,0,0,50,0,0,0,0,0,0,100,0,0,0,0,0,0
"591","Alcedo_semitorquata",5055539.07231543,38.525,6.975,8.95,10.75,60.275,80.025,24.67860109,38.5,47.32,30,0,10,60,0,0,0,0,0,0,90,0,0,10,0,0,0
"592","Alcippe_brunnea",1793097.60200351,7.275,2.95,4.075,22.175,52.9,58.875,10.09831086,49.75,17.43,70,0,0,0,0,0,0,0,30,0,0,0,50,50,0,0,0
"593","Alcippe_castaneceps",2129303.40237917,6,2.75,2.725,18.575,45.65,53.375,14.43226218,40.875,12.5,90,0,0,0,0,0,0,10,0,0,0,0,0,60,40,0,0
"594","Alcippe_chrysotis",2116851.33569859,4.825,2.675,2.9,20.425,45.1,52,13.26923077,47.25,5.5,40,0,0,0,0,0,30,0,30,0,0,0,0,80,20,0,0
"595","Alcippe_morrisonia",4022017.5378273,6.65,3,3.75,19.4,53.475,61.625,13.22095939,53.25,15.26,60,0,0,0,0,0,20,0,20,0,0,0,0,20,80,0,0
"596","Alcippe_nipalensis",834288.467598859,6.675,2.875,3.525,20.05,50.825,56,9.230127309,59.25,15.8,40,0,0,0,0,0,30,30,0,0,0,0,0,50,50,0,0
"597","Alectoris_barbara",2403248.86935193,14.175,8.4,9.325,40.975,115.175,161,28.51964073,93.75,416.33,10,0,0,0,0,0,20,0,20,50,0,0,80,20,0,0,0
"598","Alectoris_chukar",15067000.6835018,14.1,7.75,8.325,38.3,110.325,155.25,28.94734505,75.25,502.1,20,0,0,0,0,0,0,0,10,70,0,0,100,0,0,0,0
"599","Alectoris_graeca",1730837.26860061,12.766,8.4,8.84,40.362,97.94,156.2,36.87938408,79.4,594.11,30,0,0,0,0,0,0,0,0,70,0,0,100,0,0,0,0
"600","Alectoris_rufa",2129303.40237916,11.5,7.275,8.425,41.35,116.375,154.5,24.71804287,90.5,527.86,10,0,0,0,0,0,10,0,20,60,0,0,100,0,0,0,0
"601","Alectrurus_risora",1431987.66826669,9.775,6.3,4.575,23.175,56.75,73,22.29607905,156.25,25,100,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0
"602","Alectrurus_tricolor",1593864.53511423,8.15,5.725,4.95,19.4,52.2,67.25,22.3168521,47.75,16,100,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0
"603","Alophoixus_pallidus",2241372.00250439,12.05,4.575,7.375,20.475,87.05,102.625,15.14524608,104.25,46,20,0,0,0,0,0,70,10,0,0,0,0,0,0,100,0,0
"604","Alopochelidon_fucata",5055539.07231543,4.425,3.8,2.325,10.856,48.225,98.4,51.04566165,42,13.96,100,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0
"22","Amadina_erythrocephala",2801715.00313048,8.975,6.875,8.9,14.7,49.25,71.75,31.38095008,49.25,22.5,50,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0
"605","Amadina_fasciata",7408979.67494506,8.325,6.1,7.55,14.825,47.45,66.25,28.38209001,42.25,18,20,0,0,0,0,0,0,0,80,0,0,0,100,0,0,0,0
"606","Amandava_amandava",7508596.20838971,6.225,3.85,5.025,12.65,40.65,47,13.5032047,40,8.97,20,0,0,0,0,0,0,0,80,0,0,0,50,50,0,0,0
"23","Amandava_subflava",7720281.34195957,6.15,4.2,4.625,11.628,36.1,43,16.03872622,33,7.44,20,0,0,0,0,0,0,0,60,20,0,0,50,50,0,0,0
"607","Amaurospiza_moesta",1182946.3346551,7.3725,6.3975,6.8375,18.07,53.5025,61.75,13.35939831,57.5,13.6,20,0,0,0,0,0,0,0,40,40,0,0,70,30,0,0,0
"24","Amazilia_beryllina",1058425.66784929,17.45,2.325,2.2,5.725,21.075,53.75,60.84130035,34,4.5,10,0,0,0,0,0,0,90,0,0,0,0,0,30,40,30,0
"25","Amazilia_cyanocephala",722219.867473633,16.825,2.425,2.275,5.475,21.675,60,63.87980368,38.25,5.1,10,0,0,0,0,0,0,90,0,0,0,0,0,20,50,20,10
"26","Amazilia_fimbriata",11929079.8799956,17.56666667,2.26,2.457272727,4.054444444,18.46111111,51.87416667,63.00174006,29.69416667,4.9,10,0,0,0,0,0,0,90,0,0,0,0,0,80,20,0,0
"27","Amazilia_lactea",3461674.5372012,16.885,2.465,2.19875,4.478571429,24.48111111,54.256875,56.94555473,30.33548387,4.6,10,0,0,0,0,0,0,90,0,0,0,0,0,30,30,30,10
"608","Amazilia_leucogaster",958809.134404658,21.95,2.725,2.463333333,3.7,19.9,53.56,62.6110708,32.12333333,4.7,10,0,0,0,0,0,0,90,0,0,0,0,0,80,20,0,0
"609","Amazilia_versicolor",6562239.14066562,13.53375,1.70625,2.020769231,4.264285714,17.66692308,48.17923077,63.36093471,28.85,4.1,10,0,0,0,0,0,0,90,0,0,0,0,0,30,40,30,0
"28","Amazilia_violiceps",672411.600751316,19.425,2.575,2.2,6.525,23.3,60.5,61.47540984,32.5,5.1,10,0,0,0,0,0,0,90,0,0,0,0,0,10,80,0,10
"610","Amazilia_yucatanensis",1133138.06793277,18.125,2.675,2.25,6.05,20.675,55,62.44002384,34.75,3.89,10,0,0,0,0,0,0,90,0,0,0,0,0,60,40,0,0
"29","Amazona_aestiva",6798828.40759664,29,17.756,30.108,18.128,149.814,203.8,26.46970029,111.9925,451,0,0,0,0,0,0,50,0,50,0,0,0,0,30,40,30,0
"30","Amazona_amazonica",9114912.81018454,29.62857143,18.73875,29.06,20.995,144.804,202.4375,28.20238311,99.2175,370,0,0,0,0,0,0,100,0,0,0,0,0,0,33,33,33,0
"31","Amazona_autumnalis",2228919.9358238,30.225,17.11857143,29.96692308,22.64928571,162.4325,210.9492308,23.07121755,115.6435714,416,0,0,0,0,0,0,100,0,0,0,0,0,0,20,40,40,0
"611","Amazona_farinosa",9114912.81018454,35.734,20.426,36.353,25.877,168.816,235.213,28.24356179,130.806,625.99,0,0,0,0,0,0,50,0,30,20,0,0,0,0,60,40,0
"612","Amazona_festiva",2079495.13565685,29.96375,16.6275,29.315,23.76875,143.02375,203.99375,29.83737814,103.76875,430,0,0,0,0,0,0,60,0,30,10,0,0,10,20,40,30,0
"613","Amazona_ochrocephala",7757637.54200131,32.6,20.575,33.25,21.35,145.95,208.75,30.16717907,107.25,476.94,0,0,0,0,0,0,40,0,30,30,0,0,33,33,33,0,0
"614","Amazona_vinacea",522986.800584359,24.65,15.85,26.35,22.45,144.975,212.25,31.65174726,117.25,254,0,0,0,0,0,0,40,0,30,30,0,0,0,30,40,30,0
"615","Amblycercus_holosericeus",2789262.93644989,20.37,6.945,9.375,32.15272727,81.15555556,92.95454545,11.90412534,101.65,70.42,100,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0
"616","Amblyospiza_albifrons",6649403.60742969,13.15,9.2,15.1,21.922,75.175,90.8,16.04802737,67.2,41.59,40,0,0,0,0,0,30,0,30,0,0,0,0,30,70,0,0
"617","Amblyramphus_holosericeus",2428153.00271308,21.55,6.825,9.85,31.15,91.825,107.125,14.33191992,98.25,56.76,40,0,0,0,0,0,20,0,30,10,0,0,100,0,0,0,0
"32","Ammodramus_aurifrons",4893662.20546789,8.6175,4.3,5.395,21.2325,51.2375,55.5,7.626405502,48.5,17.8,30,0,0,0,0,0,0,0,70,0,0,0,80,20,0,0,0
"618","Ammodramus_humeralis",11132147.6124385,8.0875,4.7475,6.27,18.39818182,53.8475,56.56818182,4.288036903,45.23727273,15.99,20,0,0,0,0,0,0,0,80,0,0,0,60,30,10,0,0
"33","Ammodramus_savannarum",5703046.53970559,8.17,4.48,6.15,19.68,45.96,58.25,21.07267329,40.9,17.61,60,0,0,0,0,0,0,0,40,0,0,0,80,20,0,0,0
"619","Ammomanes_deserti",17868715.6866323,10,4.2,5.55,20.975,72.675,95.75,24.12965126,63,23.8,50,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0
"620","Ammoperdix_griseogularis",4022017.5378273,11.075,6.75,6.825,26.55,81.95,124,33.94093099,52.5,201.86,10,0,0,0,0,0,20,0,20,50,0,0,100,0,0,0,0
"34","Amphispiza_belli",1631220.73515597,7.474285714,4.154285714,5.407857143,20.50285714,54.81428571,66.17857143,17.11378109,68.64285714,16.99,60,0,0,0,0,0,0,0,40,0,0,0,80,20,0,0,0
"35","Amphispiza_bilineata",2266276.13586555,8.208333333,4.583333333,5.866666667,18.06666667,52.23333333,63.5,17.71905075,64.75,13.5,50,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0
"621","Anabacerthia_amaurotis",784480.200876536,10.78,4.071666667,4.873333333,19.54,64.37,76.15166667,15.46413308,72.33333333,19.2,100,0,0,0,0,0,0,0,0,0,0,0,20,60,20,0,0
"622","Anabazenops_fuscus",672411.600751317,16.09,4.59,7.025,23.245,77.69857143,89.7175,14.42410058,76.4,39,100,0,0,0,0,0,0,0,0,0,0,0,10,20,70,0,0
"36","Anairetes_parulus",3872592.73766034,5.8,2.38,2.12,18.4,41.36,48.4,14.54164686,51,6.2,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
"623","Anaplectes_rubriceps",8591926.00960017,11.875,5.725,6.525,19.68,66.85,81.8,18.76233714,55.6,22.57,80,0,0,0,0,0,10,0,10,0,0,0,80,20,0,0,0
"624","Anthoscopus_caroli",6126416.80684532,6.725,2.675,3.25,12.98,44.05,53.6,16.85,30.6,6.9,60,0,0,0,0,0,20,10,0,10,0,0,0,30,70,0,0
"625","Anthoscopus_minutus",2938687.73661685,6.65,2.55,3.6,13.45,42.125,49.5,14.90204082,34.5,6.6,60,0,0,0,0,0,20,0,20,0,0,0,0,40,20,40,0
"37","Anthracothorax_nigricollis",11817011.2798704,20.7925,2.17875,2.424166667,4.444444444,23.05416667,64.2775,64.09506699,34.52583333,7,10,0,0,0,0,0,0,90,0,0,0,0,0,10,30,40,20
"626","Anthracothorax_prevostii",1743289.33528119,23.225,2.4,2.325,5.2,21.7,64.325,66.24736436,35.5,6.4,10,0,0,0,0,0,0,90,0,0,0,0,0,10,10,60,20
"627","Anthracothorax_viridigula",1220302.53469684,25.775,2.875,2.65,5.9,24.575,68.175,63.89501327,37.75,7.5,10,0,0,0,0,0,0,90,0,0,0,0,0,10,10,80,0
"628","Anthus_caffer",1531604.20171133,7.575,3.3,3.75,17.85,56.6,71.125,20.4240963,54,16.8,100,0,0,0,0,0,0,0,0,0,0,0,70,30,0,0,0
"38","Anthus_campestris",11269120.3459249,9.9,3.425,3.975,25.3,64.55,89.3,26.85809868,69,23,70,0,10,0,0,0,0,0,20,0,0,0,100,0,0,0,0
"629","Anthus_cervinus",17893619.8199935,7.9,2.9,2.925,22.076,59.95,81.2,25.05778176,56.2,20.9,90,0,0,0,0,0,0,0,10,0,0,0,80,20,0,0,0
"630","Anthus_chacoensis",933905.001043498,7.8,2.8,3,17,49.1,64.5,23.87596899,48,21.83,90,0,0,0,0,0,0,0,10,0,0,0,100,0,0,0,0
"631","Anthus_correndera",4955922.53887079,9.225,3.4,3.925,23.414,56.775,74.9,22.62349495,60,20.9,90,0,0,0,0,0,0,0,10,0,0,0,80,10,10,0,0
"632","Anthus_furcatus",2751906.73640816,8.575,3.625,4.05,20.5,53.875,74.75,27.90293523,56.75,20.06,90,0,0,0,0,0,0,0,10,0,0,0,80,10,10,0,0
"633","Anthus_gustavi",1705933.13523945,9,3.375,3.675,22.15,54.925,79.875,31.26674719,54.625,19.8,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"634","Anthus_hellmayri",1880262.06876757,8.75,3.475,3.775,22.4,62.15,76.25,18.53385257,65.25,18.61,100,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0
"39","Anthus_hodgsoni",8430049.14275264,7.925,3.4,3.35,20.484,59.475,79.8,25.89732612,57.6,21.3,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"635","Anthus_leucophrys",11742298.8797869,9.75,3.25,4.15,28.734,67.7,95.3,28.42945908,69,24.98,80,0,0,0,0,0,0,0,20,0,0,0,100,0,0,0,0
"636","Anthus_lineiventris",2839071.20317221,10.25,3.7,4.95,27.82,69.05,84.2,17.79198254,72.2,35,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0
"637","Anthus_lutescens",9438666.54387962,8.3425,3.12,3.351428571,19.1145875,56.4125,60.4983375,6.370120172,44.9520875,12.6,80,0,0,0,0,0,0,0,20,0,0,0,100,0,0,0,0
"638","Anthus_nattereri",1207850.46801626,7.953333333,3.46,3.963333333,23.17,60.3,71.91666667,19.06040268,58.13666667,19.5,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"40","Anthus_pratensis",10397475.6782843,8,3.125,3.175,22.362,58.6,77.4,23.2324211,56.4,18.4,80,0,0,0,0,0,0,0,20,0,0,0,70,20,10,0,0
"41","Anthus_richardi",18404154.5538972,10.33090909,3.980909091,4.200909091,27.34090909,67.28454545,90.09090909,25.28420394,69.54545455,32.17,70,0,0,0,0,0,0,0,30,0,0,0,100,0,0,0,0
"639","Anthus_roseatus",2602481.9362412,7.95,3.125,3.125,22.1,67.275,82.25,18.15185665,58,20.61,100,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0
"42","Anthus_rubescens",11692490.6130646,9.4,3.1,3.15,21.575,60.875,85,28.37522504,69,20.68,80,0,0,0,0,0,10,0,10,0,0,0,90,10,0,0,0
"43","Anthus_rufulus",10733681.47866,8.6,3.25,3.475,24.975,60.55,77.25,21.5591577,56.25,20.44,80,0,0,0,0,0,0,0,10,10,0,0,100,0,0,0,0
"640","Anthus_similis",15602439.5507668,9.911111111,3.488888889,4.166666667,25.74444444,74,90.72222222,18.45512773,72.72222222,25.3,80,0,0,0,0,0,0,0,20,0,0,0,33,33,33,0,0
"44","Anthus_spinoletta",14581370.0829592,9.65,3.05,3.3,23.025,70.2,89,21.15669511,62.5,23.9,70,0,0,0,0,0,10,0,10,10,0,0,80,20,0,0,0
"641","Anthus_spragueii",4171442.33799425,8.925,3.55,3.775,22.28,58.1,79.7,26.36121198,62.6,25.5,80,0,0,0,0,0,0,0,20,0,0,0,70,30,0,0,0
"642","Anthus_sylvanus",1270110.80141916,8.9,3.225,4.825,22.964,64.35,80.2,20.07299122,66.8,31,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"643","Anthus_vaalensis",5354388.67264935,10.225,3.75,4,28.675,76.95,101.75,24.36624959,77.75,27,80,0,0,0,0,0,0,0,20,0,0,0,100,0,0,0,0
"644","Antilophia_galeata",2428153.00271308,6.85,4.05,4.625,18.2,67.75,77.25,12.24278259,59.75,21.48,40,0,0,0,0,0,60,0,0,0,0,0,0,50,50,0,0
"645","Anumbius_annumbi",3660907.60409048,12.47909091,3.802727273,4.699090909,24.30666667,64.66454545,81.42916667,20.5179514,81.6,41.5,80,0,0,0,0,0,0,0,20,0,0,0,50,50,0,0,0
"646","Apalis_thoracica",2303632.33590728,8.7,2.5,2.6,20.388,45.25,52.6,12.13612368,54.6,11.08,80,0,0,0,0,0,10,0,10,0,0,0,0,20,40,40,0
"647","Apaloderma_narina",13199190.6814148,12.4,10.45,10.3,16.825,79.25,129.25,38.68139975,156.35,67.69,90,0,10,0,0,0,0,0,0,0,0,0,0,30,70,0,0
"648","Aphantochroa_cirrochloris",1992330.66889279,18.1,2.8,2.87,4.344444444,24.14333333,66.736,63.90545363,40.058,7.7,10,0,0,0,0,0,0,90,0,0,0,0,0,80,20,0,0
