"","Species","Range_size_km","Bill_Nares","Bill_Width","Bill_Depth","Tarsus_Length","Secondary1","Wing_Chord","Hand.Wing.Index..Claramunt.2011.","Tail_Length","Mass","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial"
"1001","Cyanoloxia_glaucocaerulea",1568960.40175307,8,5.625,8.875,18.4,59.25,70.375,15.77943946,67.375,18.2,40,0,0,0,0,0,20,0,30,10,0,0,50,50,0,0,0
"1002","Cyanolyca_nana",62260.3334029003,13.225,6.025,7.15,30.325,96.55,111.625,13.42598701,115.375,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0
"1003","Cyanopica_cyanus",6736568.07419375,16.975,6.9,8.2,33.5625,115.1375,135.1875,14.87157082,200.25,95.91,80,0,0,0,0,0,10,0,10,0,0,0,0,20,60,20,0
"1004","Cyanoptila_cyanomelana",3611099.33736816,8.125,4.725,4.15,14.65,62.85,90.5,30.55664197,59.25,22.5,90,0,0,0,0,0,10,0,0,0,0,0,0,20,40,40,0
"154","Cyclarhis_gujanensis",15951097.417823,11.0375,6.058571429,9.318387097,20.496875,60.06387097,73.1446875,17.9329428,61.0883871,28.8,100,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20,0
"155","Cynanthus_latirostris",884096.734321176,17.1925,2.636666667,2.023333333,5.336,17.54,50.63166667,65.36861476,31.595,3.1,10,0,0,0,0,0,0,90,0,0,0,0,0,50,50,0,0
"1005","Cyornis_hainanus",2453057.13607424,8.7,4.125,3.475,16.34444444,52.725,68.23333333,21.72389116,59.25555556,26.84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"1006","Cyornis_rufigastra",2938687.73661686,8.7,4.78,3.64,17.52,59.64,70.8,15.75725287,58,18.3,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
"1007","Cyornis_unicolor",4046921.67118845,9.7,5.1,3.85,16.4,62.325,77.43333333,19.36370484,61.71111111,21,100,0,0,0,0,0,0,0,0,0,0,0,0,20,30,40,10
"1008","Cypseloides_fumigatus",2876427.40321395,3.875,3.175,2.425,13.525,44.05,145.25,69.65973507,44,41.95,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1009","Cypsiurus_balasiensis",9949201.27778341,2.5,3.875,2.175,9.35,36.275,114.375,68.27155551,61.375,9.11,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"156","Cypsiurus_parvus",17980784.2867575,2.675,2.75,1.6,9.4,34.925,136,74.28196282,96.75,13.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,90
"1010","Cypsnagra_hirundinacea",4034469.60450788,10.475,4.55,5.9,21.5,61.8,75.5,18.1993838,59.25,31.4,80,0,0,0,0,0,20,0,0,0,0,0,30,50,10,0,10
"1011","Cyrtonyx_montezumae",1568960.40175307,8.994285714,8.16,9.331428571,27.41285714,89.38285714,117.7528571,24.0594193,42.10857143,185.38,40,0,0,0,0,0,10,0,10,40,0,0,100,0,0,0,0
"157","Dacnis_cayana",13871602.2821661,8.024,3.624,4.068235294,15.17222222,48.54066667,62.30277778,24.41083454,42.98470588,13,50,0,0,0,0,0,40,0,0,10,0,0,0,0,30,60,10
"1012","Dacnis_lineata",7022965.60784709,7.504,3.26,3.42,14.168,42.104,57.2,26.3943246,39.8,11,20,0,0,0,0,0,80,0,0,0,0,0,0,0,30,70,0
"1013","Dactylortyx_thoracicus",1158042.20129393,9.05,6.575,7.825,32.2,89.6,127.75,29.86288493,41.25,201.75,20,0,0,0,0,0,0,0,40,40,0,0,100,0,0,0,0
"1014","Daptrius_ater",7707829.27527899,21.11,12.19333333,14.93,49.29166667,215.165,313.6666667,31.38463617,199.5,351.75,10,20,20,20,0,20,10,0,0,0,0,0,20,20,40,20,0
"1015","Deconychura_longicauda",6288293.67369286,17.08076923,5.516153846,5.226923077,22.67071429,79.72923077,100.0114286,20.6033989,95.375,23.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0
"1016","Delichon_dasypus",8230816.07586336,4.475,3.55,2.95,10.75,46.825,105.75,55.71887647,51.75,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80
"1017","Delichon_nipalense",1158042.20129394,4.175,3.225,2.95,10.9,42.35,92,53.97668237,45.625,14.96,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80
