Jetz species,Jetz_species_modified,Individuals,Count_F,Count_M,Count_U,Bill_TotalCulmen,Bill_Nares,Bill_Width,Bill_Depth,Tarsus_Length,Kipp's_Distance,Secondary1,Wing_Chord,Hand-Wing Index (Claramunt 2011),Tail_Length,Mass,Habitat,Inferred species?,Species inferred from,Inferred traits?,Traits inferred,Species traits inferred from
Melanoperdix niger,Melanoperdix_niger,4,2,2,0,20.25,9.925,7.45,10.925,43.8,34.85,96.4,131.25,26.59685113,55.75,280,1,NO,,NO,,
Melanoptila glabrirostris,Melanoptila_glabrirostris,4,0,2,2,20.275,11.575,3.975,4.925,26.8,14.75,78.25,93,15.86715587,91.5,35.4,2,NO,,NO,,
Melanospiza richardsoni,Melanospiza_richardsoni,2,0,1,1,16.85,11.2,6.4,9.4,21.65,11.1,53.9,67.5,17.07692308,46.5,20.9,1,NO,,NO,,
Melanotis caerulescens,Melanotis_caerulescens,4,1,3,0,27.9,16.7,4.825,6.1,30.25,15.225,96.025,111.25,13.68233499,126.5,61.57,2,NO,,NO,,
Melanotis hypoleucus,Melanotis_hypoleucus,4,2,2,0,28.575,17.65,5.125,6.125,31.575,12.575,93.175,105.75,11.87656429,125,68,2,NO,,NO,,
Meleagris gallopavo,Meleagris_gallopavo,4,2,2,0,50.8,25.85,17.475,15.3,149.25,115,332.5,447.5,25.98130925,346.25,5791.37,2,NO,,NO,,
Meleagris ocellata,Meleagris_ocellata,4,2,2,0,39.825,22.3,14.4,11.05,123,96.875,265.625,362.5,26.57081413,305.25,5525,2,NO,,NO,,
Melichneutes robustus,Melichneutes_robustus,4,2,2,0,13.625,7.925,4.725,6.025,15.3,24.525,67.225,91.75,26.67929582,54.5,54.2,1,NO,,NO,,
Melidectes belfordi,Melidectes_belfordi,4,0,2,2,36.275,16.575,4.65,6,34.15,29.775,106.975,136.75,21.7953329,123.75,73.14,1,NO,,NO,,
Melidectes foersteri,Melidectes_foersteri,4,1,1,2,35.5725,17.2425,4.73,5.695,36.4475,41.1,114.4,155.5,26.43948096,132.75,62.26,1,NO,,NO,,
Melidectes fuscus,Melidectes_fuscus,6,2,2,2,29.35,15.8,3.966666667,4.533333333,32.15,20.93333333,82.9,103.8333333,20.14030901,108.3333333,45,1,NO,,NO,,
Melidectes leucostephes,Melidectes_leucostephes,4,1,2,1,36.245,18.86,5.4375,5.995,32,32.025,96.35,128.375,24.986604,114.875,75.25,1,NO,,NO,,
Melidectes nouhuysi,Melidectes_nouhuysi,4,2,2,0,31.9775,17.4375,4.60625,5.84875,37.845,28.8625,98.8875,127.75,22.67315813,125,62.26,2,NO,,NO,,
Melidectes ochromelas,Melidectes_ochromelas,4,2,2,0,33.225,15.4,4.15,5.175,27.75,24.875,90.625,115.5,21.54559688,106,63,1,NO,,NO,,
Melidectes princeps,Melidectes_princeps,4,1,1,2,46.025,28.9825,4.6525,4.7325,32.925,24.05,87.575,111.625,21.58918009,107.25,42,2,NO,,NO,,
Melidectes rufocrissalis,Melidectes_rufocrissalis,4,0,3,1,43.35,20.85,5.275,5.95,32.725,32.025,108.975,141,22.72978255,117,71.6,1,NO,,NO,,
Melidectes sclateri,Melidectes_sclateri,4,2,2,0,37.075,19.7,4.675,6.45,33.4,18.425,99.45,117.875,15.59828469,105,66.77,1,NO,,NO,,
Melidectes torquatus,Melidectes_torquatus,4,2,2,0,28.35,13.575,3.9,5.25,26.225,22.5,83.875,106.375,21.17694523,97.5,44.93,2,NO,,NO,,
Melidectes whitemanensis,Melidectes_whitemanensis,3,1,1,1,39.59666667,24.9,4.646666667,5.64,30.05666667,25.33333333,78,103.3333333,24.50788206,89,48,1,NO,,NO,,
Melidora macrorrhina,Melidora_macrorrhina,4,2,2,0,49.5,37.325,19.7,16.825,20.55,22.45,94.8,117.25,19.15558509,84.25,97,1,NO,,NO,,
Melierax canorus,Melierax_canorus,4,2,2,0,33.9,18.775,11.425,26.025,102.75,141.5,215.75,357.25,39.63284246,227.25,663.32,3,NO,,NO,,
Melierax gabar,Melierax_gabar,4,2,2,0,19.85,11.475,8.175,11,48.95,67.8,123.2,191,35.49260832,143.5,169.55,3,NO,,NO,,
Melierax metabates,Melierax_metabates,4,2,2,0,33.15,18.6,11.5,18.2,86.25,111.825,208.925,320.75,34.90221616,212.5,674.53,2,NO,,NO,,
Melierax poliopterus,Melierax_poliopterus,4,2,2,0,32.95,19.175,12,25.45,89.075,113.65,193.1,306.75,37.09962157,204.25,629.88,2,NO,,NO,,
Melignomon eisentrauti,Melignomon_eisentrauti,4,2,2,0,10.8,6.8,3.475,3.925,14.9,14.9,62.6,77.5,19.19932626,52.75,24.2,1,NO,,NO,,
Melignomon zenkeri,Melignomon_zenkeri,4,2,2,0,9.675,5.3,3.05,3.325,13.925,14.725,60.025,74.75,19.73081066,53,23.6,1,NO,,NO,,
Melilestes megarhynchus,Melilestes_megarhynchus,5,2,2,1,44.05140895,25.875,5.1,5.625,24.68663151,16.525,78.725,95.88022212,17.44495136,79.23356127,43.76,1,NO,,NO,,
Meliphaga albilineata,Meliphaga_albilineata,8,4,4,0,22.7625,11.3625,3.275,3.9625,20.625,13.4,71.725,85.125,15.752937,77,23.69,2,NO,,NO,,
Meliphaga albonotata,Meliphaga_albonotata,5,1,4,0,21.374,10.608,3.592,4.278,21.568,12.8,68.8,81.6,15.76981989,69.4,22.4,2,NO,,NO,,
Meliphaga analoga,Meliphaga_analoga,5,2,2,1,21.616,9.775,2.925,3.975,23.49,9.525,67.975,78,12.15808096,65.4,21.57,1,NO,,NO,,
Meliphaga aruensis,Meliphaga_aruensis,4,2,2,0,20.65,9.125,3.375,4.225,20.325,14.925,71.575,86.5,17.20270406,71.75,26.2,1,NO,,NO,,
Meliphaga flavirictus,Meliphaga_flavirictus,5,2,3,0,20.522,10.71,3.37,3.92,19.582,11.68,64.12,75.8,15.42105509,66.6,18.5,1,NO,,NO,,
Meliphaga gracilis,Meliphaga_gracilis,8,4,2,2,20.8375,10.55,3.0625,3.5625,19.5375,9.4625,60.2875,69.75,13.55022453,60.9375,14.98,2,NO,,NO,,
Meliphaga lewinii,Meliphaga_lewinii,4,2,2,0,23.125,10.375,3,4.65,24.225,17.175,75.325,92.5,18.53013149,86,33.58,1,NO,,NO,,
Meliphaga mimikae,Meliphaga_mimikae,4,2,2,0,22.25,10.5,3.225,4.225,21.325,11.025,72.225,83.25,13.30041721,70,26.9,1,NO,,NO,,
Meliphaga montana,Meliphaga_montana,4,2,2,0,21.575,10.625,3.3,4.775,22.15,12.1,69.15,81.25,14.89477293,70.875,28.03,1,NO,,NO,,
