Jetz species,Jetz_species_modified,Individuals,Count_F,Count_M,Count_U,Bill_TotalCulmen,Bill_Nares,Bill_Width,Bill_Depth,Tarsus_Length,Kipp's_Distance,Secondary1,Wing_Chord,Hand-Wing Index (Claramunt 2011),Tail_Length,Mass,Habitat,Inferred species?,Species inferred from,Inferred traits?,Traits inferred,Species traits inferred from
Abeillia abeillei,Abeillia_abeillei,4,2,2,0,13.05,9.5,1.05,1.75,6.7,30.5,15.5,46,66.3356974,29,2.7,2,NO,,NO,,
Abroscopus albogularis,Abroscopus_albogularis,5,2,2,1,9.616,4.9,2.85,2.325,16.113,5.7,37.3,45.1,13.26052672,45.2,4.84,1,NO,,NO,,
Abroscopus schisticeps,Abroscopus_schisticeps,4,3,1,0,8.95,4.675,2.6,2.325,16.525,7.6,39.525,47.125,16.12581814,47.5,4.7,1,NO,,NO,,
Abroscopus superciliaris,Abroscopus_superciliaris,4,2,2,0,12.325,7.375,3.2,2.875,16.5,6.475,44.525,51,12.68955138,41.25,6.48,1,NO,,NO,,
Aburria aburri,Aburria_aburri,8,4,4,0,36.24,16.62125,9.265,10.2525,64.9325,50,284.5,334.5714286,14.97944068,287.625,1405.08,1,NO,,NO,,
Acanthagenys rufogularis,Acanthagenys_rufogularis,4,1,3,0,24.925,11.275,3.725,4.975,25.125,24.975,82.775,107.75,23.19669714,112.5,47.8,2,NO,,NO,,
Acanthidops bairdii,Acanthidops_bairdii,4,1,3,0,16.23333333,10.8,3.85,5.3,20.925,11.275,54.725,66,17.07139927,52.125,16,1,NO,,NO,,
Acanthisitta chloris,Acanthisitta_chloris,5,2,2,1,12.2,6.325,2.625,2.375,18.74,6.175,38.075,47,13.94366685,23.4,6.91,1,NO,,NO,,
Acanthiza apicalis,Acanthiza_apicalis,4,2,2,0,10.6,5.925,2.375,2.8,18.375,7.15,43.225,50.375,14.18388953,46.5,7.62,2,NO,,NO,,
Acanthiza chrysorrhoa,Acanthiza_chrysorrhoa,5,2,2,1,11.78,6.25,2.3,2.7,18.02,9.1,49.15,58.34,15.58153715,38.92,9.29,2,NO,,NO,,
Acanthiza ewingii,Acanthiza_ewingii,4,0,1,3,10.7,5.575,1.9,2.525,21.7,8.275,42.475,50.75,16.319427,47,6.9,2,NO,,NO,,
Acanthiza inornata,Acanthiza_inornata,4,2,2,0,11.325,5.9,2.425,3,17.25,6.025,40.975,47,12.82100326,38,7,2,NO,,NO,,
Acanthiza iredalei,Acanthiza_iredalei,4,2,2,0,9.325,4.85,2.15,2.475,17.35,7.2,39.8,47,15.33740942,40,6.04,2,NO,,NO,,
Acanthiza katherina,Acanthiza_katherina,2,0,1,1,11.2,5.75,2.35,2.7,17.85,9.1,42.65,51.75,17.58504673,45.25,7.2,1,NO,,NO,,
Acanthiza lineata,Acanthiza_lineata,5,3,1,1,8.74,4.975,2.3,3.025,17.12,9.425,39.95,49.64,19.13706948,40.06,6.85,2,NO,,NO,,
Acanthiza murina,Acanthiza_murina,5,2,3,0,11.228,6.042,2.528,2.94,17.884,12.74,43.96,56.7,22.50768752,35.125,8.4,1,NO,,NO,,
Acanthiza nana,Acanthiza_nana,4,2,2,0,10.025,5.2,2.525,3.025,17.425,8.825,40.8,49.625,17.82363446,39.75,6.19,2,NO,,NO,,
Acanthiza pusilla,Acanthiza_pusilla,5,2,2,1,10.12,5.3,2.125,2.6,18.36,7.6,44.15,51.76,14.60532213,45.18,7.62,2,NO,,NO,,
Acanthiza reguloides,Acanthiza_reguloides,5,2,2,1,10.28,5.975,2.225,2.95,16.46,7.275,44.725,51.92,13.98558226,40.5,7.7,2,NO,,NO,,
Acanthiza robustirostris,Acanthiza_robustirostris,4,2,2,0,10.15,5.1,2.525,2.8,19.8,7.625,42.75,50.375,15.15927056,41.125,6.1,2,NO,,NO,,
Acanthiza uropygialis,Acanthiza_uropygialis,4,2,2,0,10.075,5.35,2.15,2.4,18.4,7.875,44.625,52.5,15.00574789,41.25,6.4,2,NO,,NO,,
Acanthorhynchus superciliosus,Acanthorhynchus_superciliosus,4,2,2,0,23.325,15.5,2.05,2.575,20.4,9.45,50.05,59.5,15.88294921,54.5,9.72,2,NO,,NO,,
Acanthorhynchus tenuirostris,Acanthorhynchus_tenuirostris,5,0,2,3,26.14,18.925,2.325,2.6,18.14,14.15,54.6,67.98,20.56670168,62.56,10.44,2,NO,,NO,,
Acanthornis magna,Acanthornis_magna,4,1,2,1,15.025,8.375,2.425,2.85,22.175,9.175,46.075,55.25,16.60231975,47.5,10.18,1,NO,,NO,,
Accipiter albogularis,Accipiter_albogularis,4,1,0,3,28.375,17.75,11.075,15.225,62.5,81.75,159.5,241.25,33.88432129,167.75,248.75,1,NO,,NO,,
Accipiter badius,Accipiter_badius,8,4,4,0,20.7375,12.0875,8.8125,11.75,43.1625,62.525,127.4125,189.9375,32.93687093,142.5,131.15,2,NO,,NO,,
Accipiter bicolor,Accipiter_bicolor,5,2,1,2,26.408,14.7825,9.5675,13.628,59.382,46.39,189.61,236,19.76708869,191.1,287.54,2,NO,,NO,,
Accipiter brachyurus,Accipiter_brachyurus,4,4,0,0,22.53,13.9675,8.885,11.9175,61.23,64.12666667,138.05,202.1766667,31.71490534,140.82,142,1,NO,,NO,,
Accipiter brevipes,Accipiter_brevipes,4,2,2,0,21.075,12.125,8.725,11.125,46.375,94,130.75,224.75,41.78736092,153.5,186.48,1,NO,,NO,,
Accipiter butleri,Accipiter_butleri,1,0,1,0,20,11.9,6.6,12,48.7,42.9,123.1,166,25.84337349,127,332.94,1,NO,,NO,,
Accipiter castanilius,Accipiter_castanilius,4,2,2,0,20.475,11.525,8.275,10.925,52.575,38.875,123.125,162,24.02239214,137,157.51,1,NO,,NO,,
Accipiter chilensis,Accipiter_chilensis,4,2,2,0,22.65,12.625,7.7,11.4,57.175,69.25,156.25,225.5,30.63731023,177.5,368,2,NO,,NO,,
Accipiter chionogaster,Accipiter_chionogaster,4,2,2,0,18.875,10.475,7.325,9.7,52.325,60.525,124.225,184.75,32.66578921,136.25,332.94,1,NO,,NO,,
Accipiter cirrocephalus,Accipiter_cirrocephalus,4,2,2,0,19.6,10.6,7.975,9.725,60.5,81.275,133.725,215,37.74705145,155.25,165.73,1,NO,,NO,,
Accipiter collaris,Accipiter_collaris,6,1,4,1,19.73333333,11.21,8.746666667,10.94,44.06,49.45,115.2166667,164.6666667,30.03240517,123.5,332.94,1,NO,,NO,,
Accipiter cooperii,Accipiter_cooperii,4,2,2,0,25.275,13.9,8.325,13.275,61.35,77.75,163.5,241.25,32.25656531,189.25,429.67,2,NO,,NO,,
Accipiter erythrauchen,Accipiter_erythrauchen,4,3,1,0,21.1,12.2,8.6,11.225,59.475,58.85,132.4,191.25,30.8186344,154.75,156,1,NO,,NO,,
Accipiter erythronemius,Accipiter_erythronemius,4,2,2,0,17.075,9.45,6.6,8.35,49.3,53.25,128.75,182,29.0765574,126.25,125,1,NO,,NO,,
Accipiter erythropus,Accipiter_erythropus,4,2,2,0,17.1,9.725,7.175,9.075,43.475,40.925,110.075,151,27.08019821,99,111.2,1,NO,,NO,,
Accipiter fasciatus,Accipiter_fasciatus,4,2,2,0,25.525,16.425,10.5,13.875,72.025,106.25,166.5,272.75,39.04520274,199.5,358.66,1,NO,,NO,,
Accipiter francesiae,Accipiter_francesiae,4,2,2,0,20.175,12.5,9.025,10.8,50.55,43.75,121,164.75,26.6422707,136.25,136.82,1,NO,,NO,,
Accipiter gentilis,Accipiter_gentilis,4,2,2,0,34.5,19.625,11.575,17.95,71.75,125.5,218.25,343.75,36.49091967,234,866.04,1,NO,,NO,,
Accipiter griseiceps,Accipiter_griseiceps,4,3,1,0,24.1,14.625,8.8,12.4,52,49.975,137.275,187.25,26.7780016,141.25,251.76,1,NO,,NO,,
Accipiter gularis,Accipiter_gularis,4,0,3,1,24.35,9.5,6.75,8.825,42.225,54.2,109.05,163.25,33.17742543,104,120.66,1,NO,,NO,,
Accipiter gundlachi,Accipiter_gundlachi,1,0,1,0,25.95,15.23,8.25,16.32,71.29,61.81,166.19,228,27.10964912,223,675,1,NO,,NO,,
Accipiter haplochrous,Accipiter_haplochrous,4,3,1,0,23.725,13.925,9.6,13.15,58.875,74.5,153.25,227.75,32.70636776,155,198.41,1,NO,,NO,,
Accipiter henicogrammus,Accipiter_henicogrammus,4,2,2,0,28,15.95,10,13.8,65.025,72,160.5,232.5,31.05123784,187,332.94,1,NO,,NO,,
Accipiter henstii,Accipiter_henstii,4,2,2,0,32.6,18.15,11.75,17.2,75.025,78,212.5,290.5,26.99905815,245,1050,1,NO,,NO,,
Accipiter imitator,Accipiter_imitator,1,1,0,0,26.4,16.8,9.1,12.2,49.6,60,140,200,30,161,222.49,1,NO,,NO,,
Accipiter luteoschistaceus,Accipiter_luteoschistaceus,1,0,1,0,26.4,16.8,7.8,11.9,51.5,57,131,188,30.31914894,146,214,1,NO,,YES,"Bill total culmen, Bill nares",Accipiter imitator
Accipiter madagascariensis,Accipiter_madagascariensis,4,2,2,0,19.725,10.675,7.375,9.45,57.975,54.525,136.225,190.75,28.67353249,149.5,180.41,1,NO,,NO,,
Accipiter melanochlamys,Accipiter_melanochlamys,4,2,2,0,25.35,15.6,11.275,14.225,62.35,75,156.25,231.25,32.44000043,165,265,1,NO,,NO,,
Accipiter melanoleucus,Accipiter_melanoleucus,4,2,2,0,30.35,18.05,10.525,16.125,75.775,107.25,200.75,308,35.02416184,220.5,698.99,1,NO,,NO,,
Accipiter meyerianus,Accipiter_meyerianus,2,1,1,0,35,20.65,12.65,18.65,75.4,102,207.5,309.5,32.97736086,200,763.54,1,NO,,NO,,
Accipiter minullus,Accipiter_minullus,4,2,2,0,15.875,9.2,6.875,8.825,41.075,44,103.25,147.25,29.80988928,100,87.43,1,NO,,NO,,
Accipiter nanus,Accipiter_nanus,2,0,2,0,17.545,10.535,7.52,10.04,46.63,44.865,107.53,152.395,29.46221175,109.01,332.94,1,NO,,NO,,
Accipiter nisus,Accipiter_nisus,4,2,2,0,20.725,11.3,9.025,10.65,52.65,75.6,136.65,212.25,35.51488815,170,220.79,1,NO,,NO,,
Accipiter novaehollandiae,Accipiter_novaehollandiae,10,6,4,0,27.861,16.566,10.136,14.88,58.602,69.198,157.875,227.073,30.62847535,158.293,326.06,1,NO,,NO,,
Accipiter ovampensis,Accipiter_ovampensis,4,2,2,0,20.625,11.2,7.625,10.2,49.6,86.25,138.5,224.75,38.39506551,155.25,195,2,NO,,NO,,
Accipiter poliocephalus,Accipiter_poliocephalus,4,2,2,0,25.05,15.45,10.075,13.725,60.325,67.75,142.75,210.5,32.1188732,157.25,214.76,1,NO,,NO,,
Accipiter poliogaster,Accipiter_poliogaster,4,2,2,0,26.55,14.95,8.225,13.2,54.7,72.55,172.2,244.75,29.63450404,174.25,1369.41,1,NO,,NO,,
Accipiter princeps,Accipiter_princeps,2,1,1,0,33.6,22.24,13.84,17.825,68.06,77.845,188.47,266.315,29.17229763,192.31,332.94,1,NO,,NO,,
Accipiter rhodogaster,Accipiter_rhodogaster,4,2,2,0,20.65,11.8,8,10.75,53.85,51.6,122.4,174,29.70601369,126.75,172.71,1,NO,,NO,,
Accipiter rufitorques,Accipiter_rufitorques,4,2,2,0,25.35,15.45,10.25,13.35,57.7,73.5,142,215.5,34.07878823,141.75,209,1,NO,,NO,,
Accipiter rufiventris,Accipiter_rufiventris,4,2,2,0,19.875,10.7,7.65,9.7,54.4,82.975,134.275,217.25,38.16445543,161.5,198,1,NO,,NO,,
Accipiter soloensis,Accipiter_soloensis,4,2,2,0,26.975,11.425,8.6,9.475,38.15,73.1,114.4,187.5,38.99291154,121,164.77,1,NO,,NO,,
Accipiter striatus,Accipiter_striatus,4,2,2,0,19.425,10.5,8.725,10.4,49.775,60.025,124.225,184.25,32.52265538,144.25,130.59,1,NO,,NO,,
Accipiter superciliosus,Accipiter_superciliosus,4,2,2,0,19.175,10.8,6.725,10.25,35.75,38.575,105.175,143.75,26.8397185,101.5,99.51,1,NO,,NO,,
Accipiter tachiro,Accipiter_tachiro,4,2,2,0,16.2,15.225,9.55,12.625,65.725,58.025,158.475,216.5,26.92321098,172.75,381,1,NO,,NO,,
Accipiter toussenelii,Accipiter_toussenelii,4,2,2,0,25.075,14.3,9.45,12.25,61.85,49.25,151.5,200.75,24.59599072,163.75,249.29,1,NO,,NO,,
Accipiter trinotatus,Accipiter_trinotatus,4,2,2,0,20.1,13.325,8.6,11.075,48.2,43,115,158,27.21543957,122,146,1,NO,,NO,,
Accipiter trivirgatus,Accipiter_trivirgatus,8,3,3,2,35.5,16.4875,10.375,14.225,55.7625,51.625,171,222.625,23.22326483,178.375,265.04,1,NO,,NO,,
Accipiter ventralis,Accipiter_ventralis,4,2,2,0,18.4,9.9,6.65,9.3,51.75,52.75,130,182.75,28.74255513,122.75,233,1,NO,,NO,,
Accipiter virgatus,Accipiter_virgatus,8,3,4,1,22.525,11.15,7.375,10.0875,47.5,47.31428571,123.1142857,170.4285714,27.55442673,124.875,116.99,1,NO,,NO,,
Aceros cassidix,Aceros_cassidix,4,2,2,0,220.5,165.7,47.05,59.475,67.25,80.75,347,427.75,18.86937003,302.25,2360,1,NO,,NO,,
Aceros comatus,Aceros_comatus,4,2,2,0,152.75,126.125,34.95,60.775,62.925,14.4,342.6,357,4.045852086,397.5,1470,1,NO,,NO,,
Aceros corrugatus,Aceros_corrugatus,4,2,2,0,147.5,120.925,35.4,70.2,48.575,45.8,297.45,343.25,13.36083619,231.25,1590,1,NO,,NO,,
Aceros everetti,Aceros_everetti,1,0,1,0,144.5,125.5,39.1,46.2,55.1,75,263,338,22.18934911,258,1748.8,2,NO,,NO,,
Aceros leucocephalus,Aceros_leucocephalus,4,2,2,0,130.2,106,36.225,43.35,51.3,70.5,242.5,313,22.47962374,228.75,1086,1,NO,,NO,,
Aceros narcondami,Aceros_narcondami,4,2,2,0,114.65,99.725,33.85,35.325,49.15,82.5,205,287.5,28.67355595,192.75,697.17,2,NO,,NO,,
Aceros nipalensis,Aceros_nipalensis,3,2,1,0,204,177.6666667,45.36666667,75.13333333,74.7,93.1,338.5666667,431.6666667,21.6271216,457.6666667,2385,1,NO,,NO,,
Aceros plicatus,Aceros_plicatus,8,4,4,0,181,161.2,45.1,75.425,59.6,92.3,293.2,385.5,23.88866686,251,1703.76,1,NO,,NO,,
Aceros subruficollis,Aceros_subruficollis,4,2,2,0,163.625,144.75,43.25,47.875,56.125,113.75,269.75,383.5,29.61850533,230.75,2042,2,NO,,NO,,
Aceros undulatus,Aceros_undulatus,4,1,3,0,185.75,165.75,47.65,69.05,43.8,64.125,361.125,425.25,14.78354184,272.25,2214.55,1,NO,,NO,,
Aceros waldeni,Aceros_waldeni,4,1,3,0,141.575,115.1,35.3,68.475,61.475,68.675,271.575,340.25,20.23324919,271,1748.8,1,NO,,NO,,
Achaetops pycnopygius,Achaetops_pycnopygius,4,2,2,0,20.325,9.5,3.225,4.525,24.425,4.4,62.725,67.125,6.544710768,78.25,28.3,3,NO,,NO,,
Acridotheres albocinctus,Acridotheres_albocinctus,4,2,2,0,27.325,15.325,5.7,7.2,35.9,31.325,92.425,123.75,25.31208751,79.375,93.56,3,NO,,NO,,
Acridotheres cinereus,Acridotheres_cinereus,4,2,2,0,27.3125,15.8875,6.485,7.43,35.9975,29.4825,96.3925,125.875,23.52974785,79,93.56,3,NO,,NO,,
Acridotheres cristatellus,Acridotheres_cristatellus,4,2,2,0,26.675,15.075,6,8.125,38.275,31.125,100.25,131.375,23.69860618,79.25,116.31,3,NO,,NO,,
Acridotheres fuscus,Acridotheres_fuscus,4,1,1,2,26.875,16.125,6.825,7.275,36.75,30.7,93.55,124.25,24.7162719,75.875,82.8,2,NO,,NO,,
Acridotheres ginginianus,Acridotheres_ginginianus,4,1,1,2,25.425,14.2,5.375,6.525,34.925,29.1,90.525,119.625,24.33165815,76.75,72,3,NO,,NO,,
Acridotheres grandis,Acridotheres_grandis,8,2,6,0,25.875,15.7875,6.275,7.5375,36.2,29.7875,98.8375,128.625,23.06193955,73.875,98.91,3,NO,,NO,,
Acridotheres tristis,Acridotheres_tristis,4,2,2,0,27.225,15.75,6.625,8.25,38.175,30.25,108.25,138.5,21.84696376,82.875,116.43,3,NO,,NO,,
Acrobatornis fonsecai,Acrobatornis_fonsecai,2,0,1,1,10.34,7.385,3.14,3.525,18.17,13.64,50.465,64.105,21.20440899,59.385,13.7,1,NO,,NO,,
Acrocephalus aedon,Acrocephalus_aedon,5,2,2,1,18.008,10.75,4.875,5.1,26.278,16.925,61.575,80,21.60075164,79.6,22.4,3,NO,,NO,,
Acrocephalus aequinoctialis,Acrocephalus_aequinoctialis,1,0,1,0,20.9,11,3.4,3.5,24.5,14.3,59.2,73.5,19.45578231,63.5,25,3,NO,,NO,,
Acrocephalus agricola,Acrocephalus_agricola,5,2,2,1,13.878,7.75,3.275,2.85,21.304,10.075,44.675,55.8,18.41802265,56.1,9.6,3,NO,,NO,,
Acrocephalus arundinaceus,Acrocephalus_arundinaceus,9,4,4,1,22.39777778,12.9,4.6125,5.1,27.33111111,21.9125,64.2125,87.22222222,25.05695573,75.22222222,30,3,NO,,NO,,
Acrocephalus atyphus,Acrocephalus_atyphus,4,0,4,0,26.275,14.975,4.775,4.85,27.775,16.325,71.55,87.875,18.59078151,78.75,31.21,3,NO,,NO,,
Acrocephalus australis,Acrocephalus_australis,4,2,2,0,18.975,10.575,3.675,3.875,23.8,16.3,54.95,71.25,22.8681294,66.25,17.7,3,NO,,NO,,
Acrocephalus baeticatus,Acrocephalus_baeticatus,5,2,2,1,19.386,8.625,3.025,2.875,20.256,10.7,47.925,58.7,18.24532799,49,10.2,3,NO,,NO,,
Acrocephalus bistrigiceps,Acrocephalus_bistrigiceps,4,2,2,0,13.075,7.7,3.125,2.575,19.7,11.4,40.725,52.125,21.8690158,50.25,8.67,3,NO,,NO,,
Acrocephalus brevipennis,Acrocephalus_brevipennis,4,0,4,0,19.1,11.775,4.025,3.55,26.175,9.1,57.025,66.125,13.76104816,63.5,16,2,NO,,NO,,
Acrocephalus caffer,Acrocephalus_caffer,3,1,1,1,33.1,19.03333333,5,5.1,30.66666667,16.63333333,76.53333333,93.16666667,17.84714956,81.83333333,31.21,2,NO,,NO,,
Acrocephalus concinens,Acrocephalus_concinens,4,2,2,0,13.325,8,3.375,2.9,22.05,9.725,45.525,55.25,17.60494849,55,8.3,2,NO,,NO,,
Acrocephalus dumetorum,Acrocephalus_dumetorum,4,2,2,0,16.275,9.15,3.675,3.1,22.075,13.45,48.05,61.5,21.82218576,53.125,11.2,2,NO,,NO,,
Acrocephalus familiaris,Acrocephalus_familiaris,3,1,1,1,17.63333333,9.55,3.4,3.5,21.7,9.1,51.4,60.33333333,15.0915801,56,18.3,3,NO,,NO,,
Acrocephalus gracilirostris,Acrocephalus_gracilirostris,4,2,2,0,17.75,9.9,3.625,3.55,23.475,7.925,54.95,62.875,12.61486906,56.625,14.4,3,NO,,NO,,
Acrocephalus griseldis,Acrocephalus_griseldis,5,2,2,1,21.106,12.925,4.125,3.775,24.34,23.225,56.4,79.9,29.20683856,62.8,16.7,3,NO,,NO,,
Acrocephalus kerearako,Acrocephalus_kerearako,1,0,1,0,21.3,11.7,4.4,4.2,27.2,13.2,59.8,73,18.08219178,77,22.5,2,NO,,NO,,
Acrocephalus luscinius,Acrocephalus_luscinius,1,0,1,0,37,22.4,5,5.1,30.1,14.7,74.3,89,16.51685393,83,30.55,2,NO,,NO,,
Acrocephalus melanopogon,Acrocephalus_melanopogon,4,2,2,0,12.375,7.225,2.6,2.45,18.725,9.85,43.9,53.75,18.33221024,48.25,10.9,3,NO,,NO,,
Acrocephalus mendanae,Acrocephalus_mendanae,8,1,6,1,30.1125,18.1375,5.05,5.125,29.95,19.125,79.75,98.875,19.34335632,89.5,31.21,2,NO,,NO,,
Acrocephalus newtoni,Acrocephalus_newtoni,4,2,2,0,18,10.35,3.75,3.7,25.025,9.85,56.275,66.125,14.95174103,76,17,3,NO,,NO,,
Acrocephalus orinus,Acrocephalus_orinus,4,2,2,0,16.8,9.625,3.95,3.133333333,21.75,11.75,46.25,58,20.27583905,55.375,24.2,3,NO,,NO,,
Acrocephalus paludicola,Acrocephalus_paludicola,4,2,2,0,12.325,7.05,2.65,2.875,19.375,18.325,43.675,62,29.57384008,47.25,11.6,3,NO,,NO,,
Acrocephalus palustris,Acrocephalus_palustris,4,2,2,0,15.125,8.25,3.225,3.3,21.775,19.175,47.325,66.5,28.83285985,55.25,11.5,2,NO,,NO,,
Acrocephalus rehsei,Acrocephalus_rehsei,1,1,0,0,21.2,12,4.2,3.8,27.9,9.9,61.6,71.5,13.84615385,66,20.06,2,NO,,NO,,
Acrocephalus rimatarae,Acrocephalus_rimatarae,1,0,1,0,24.6,13.6,4.2,4.1,29.4,14.1,70.4,84.5,16.68639053,85,26.5,1,NO,,NO,,
Acrocephalus rodericanus,Acrocephalus_rodericanus,4,2,2,0,17.73333333,10.26666667,3.225,2.925,23.1,10.2,50.175,60.375,16.90418113,74.375,11.8,2,NO,,NO,,
Acrocephalus rufescens,Acrocephalus_rufescens,4,2,2,0,20.575,11.925,4.525,4.1,27.775,11.475,61.9,73.375,15.62244719,70.25,22.72,3,NO,,NO,,
Acrocephalus schoenobaenus,Acrocephalus_schoenobaenus,4,2,2,0,14.225,8.25,2.95,2.85,20.675,17.875,47.75,65.625,27.17095345,50.25,11.83,3,NO,,NO,,
Acrocephalus scirpaceus,Acrocephalus_scirpaceus,4,2,2,0,17.3,8.775,3.425,2.85,21.9,14.5,50.75,65.25,22.22282925,50.25,12.3,3,NO,,NO,,
Acrocephalus sechellensis,Acrocephalus_sechellensis,4,2,2,0,17.8,10.15,3.975,3.275,24.275,7.85,58.4,66.25,11.81726555,63.25,15.87,2,NO,,NO,,
Acrocephalus sorghophilus,Acrocephalus_sorghophilus,8,3,5,0,14.74285714,10.24142857,4.09875,4.17875,22.9275,15.35875,48.45375,63.8125,24.24434898,55.6375,14.18,2,NO,,NO,,
Acrocephalus stentoreus,Acrocephalus_stentoreus,4,2,2,0,25.15,15.75,4.175,4.75,27.525,16.225,61.4,77.625,20.85264587,76.25,24.2,3,NO,,NO,,
Acrocephalus syrinx,Acrocephalus_syrinx,4,1,3,0,24.775,14.15,4.5,4.225,26.575,12.35,63.4,75.75,16.29851143,72.75,20.06,2,NO,,NO,,
Acrocephalus taiti,Acrocephalus_taiti,2,1,1,0,20.5,12.1,4.1,4.05,29.5,13.9,68.1,82,16.95535714,78,24.25,1,NO,,NO,,
Acrocephalus tangorum,Acrocephalus_tangorum,4,2,2,0,14.4475,8.575,3.5925,2.7825,21.56,10.3375,43.1625,53.5,19.35638112,53.25,16.39,2,NO,,NO,,
Acrocephalus vaughani,Acrocephalus_vaughani,4,3,1,0,20.6,11.85,4.225,4,28.225,13.35,64.65,78,17.13628485,73.75,24.37,1,NO,,NO,,
Acropternis orthonyx,Acropternis_orthonyx,5,0,2,3,22.61,10.1,4.55,6.325,35.75,5.2,90.3,95.6,5.47183318,85.1,89.86,1,NO,,NO,,
Acryllium vulturinum,Acryllium_vulturinum,4,2,2,0,41.525,26.975,15.25,16,92.25,54.875,239.125,294,18.56743204,269.75,1330,2,NO,,NO,,
Actenoides bougainvillei,Actenoides_bougainvillei,4,3,1,0,50.785,37.525,14.1325,16.14,20.21,25.7475,102.6325,128.38,20.02356219,92.9,188,1,NO,,NO,,
Actenoides concretus,Actenoides_concretus,4,2,2,0,48.925,37.525,12.85,13.425,14.9,23.725,87.025,110.75,21.4940715,58.5,73.47,1,NO,,NO,,
Actenoides hombroni,Actenoides_hombroni,4,2,2,0,46.85,36.475,13.7,14.75,18.025,26.85,92.4,119.25,22.5230643,92.25,117,1,NO,,NO,,
Actenoides lindsayi,Actenoides_lindsayi,4,2,2,0,46.1,34.65,12.35,13.225,18.5,21.425,85.075,106.5,20.11528725,80.25,92.84,1,NO,,NO,,
Actenoides monachus,Actenoides_monachus,21,10,9,2,53.51666667,40.55285714,13.49428571,16.87285714,22.41142857,27.80142857,117.59,142.8447619,19.11982267,113.1590476,106,1,NO,,NO,,
Actenoides princeps,Actenoides_princeps,21,8,13,0,45.255,33.2,11.825,13.05,19.425,25.625,86.125,113.2857143,22.91496273,89.3,105,1,NO,,NO,,
Actinodura egertoni,Actinodura_egertoni,4,2,2,0,16.85,8.875,4.05,5.075,28.025,9.125,74.625,83.75,10.8499953,110.25,36,1,NO,,NO,,
Actinodura morrisoniana,Actinodura_morrisoniana,4,2,2,0,17.025,9.125,3.75,4.2,27.2,11.375,69.625,81,14.04983359,82.25,23.97,1,NO,,NO,,
Actinodura nipalensis,Actinodura_nipalensis,4,2,2,0,20.85,10.25,3.95,4.925,30.35,14.575,73.175,87.75,16.57097052,83.75,43.87,1,NO,,NO,,
Actinodura ramsayi,Actinodura_ramsayi,4,2,2,0,20.525,10.45,4.65,6.25,28.025,6.775,81.475,88.25,7.661138435,127.25,38.4,1,NO,,NO,,
Actinodura sodangorum,Actinodura_sodangorum,1,1,0,0,18.2,10.3,4.7,5.6,31,13,72.5,85.5,15.20467836,123.5,38.1,1,NO,,NO,,
Actinodura souliei,Actinodura_souliei,4,1,3,0,20.95,11.125,4.5,5.675,32.85,12.275,81.975,94.25,13.04940243,88.5,39.34,1,NO,,NO,,
Actinodura waldeni,Actinodura_waldeni,4,2,2,0,21.6,10.425,4.125,4.95,32.525,11.875,78.75,90.625,13.10666092,86,46.73,1,NO,,NO,,
Actitis hypoleucos,Actitis_hypoleucos,4,2,2,0,29.7,19.875,3.175,4,20.3,51.075,55.425,106.5,47.95890341,54,48,3,NO,,NO,,
Actitis macularius,Actitis_macularius,4,2,2,0,25.625,16.15,2.65,3.125,23.9,47.6,52.65,100.25,47.4805593,49,40.4,3,NO,,NO,,
Actophilornis africanus,Actophilornis_africanus,4,2,2,0,33.25,19.775,4.65,6.35,66.9,46.5,109.25,155.75,29.88666159,47.75,189.09,3,NO,,NO,,
Actophilornis albinucha,Actophilornis_albinucha,4,2,2,0,33.65,19.225,4.425,6.175,67.325,51,112.75,163.75,31.04897238,46.75,239,3,NO,,NO,,
Adelomyia melanogenys,Adelomyia_melanogenys,10,1,0,9,18.345,13.845,2.715,2.055,5.96,29.525,20.975,50.5,58.53818205,35.6,4.93,1,NO,,NO,,
Aechmophorus clarkii,Aechmophorus_clarkii,4,1,3,0,78.625,58.8,7.525,11.425,76.325,79.85,111.65,191.5,41.77677911,33.5,1090.93,3,NO,,NO,,
Aechmophorus occidentalis,Aechmophorus_occidentalis,4,0,3,1,73.225,54.15,6.6,10.175,71.7,75.45,109.05,184.5,40.86705534,29.75,1136.95,3,NO,,NO,,
Aegithalos caudatus,Aegithalos_caudatus,9,4,4,1,7.233333333,4.5375,2.6125,3.3,15.63888889,12.4375,46.25,59.11111111,21.08594714,76.44444444,8.6,2,NO,,NO,,
Aegithalos concinnus,Aegithalos_concinnus,4,2,2,0,7.375,4.35,2.425,3.05,15,8.55,39.95,48.5,17.63180272,50.875,6.1,1,NO,,NO,,
Aegithalos fuliginosus,Aegithalos_fuliginosus,4,2,2,0,7.65,4.375,2.125,2.975,15.575,10.325,45.05,55.375,18.64134279,57,5.65,2,NO,,NO,,
Aegithalos iouschistos,Aegithalos_iouschistos,13,4,4,5,7.807692308,4.891666667,2.35,2.7,16.49230769,8.8,46.075,55.11538462,15.99926125,52.07692308,7,2,NO,,NO,,
Aegithalos leucogenys,Aegithalos_leucogenys,4,2,2,0,7.6,4.775,2.05,3.25,16.225,8.75,44,52.75,16.60105225,51,6.7,2,NO,,NO,,
Aegithalos niveogularis,Aegithalos_niveogularis,5,2,2,1,9.04,5.3,2.5,3,17.42,8.925,50.45,65.7,15.02945302,56.6,7.8,2,NO,,NO,,
