BirdTree,Genera
Emberiza_elegans,Emberiza
Emberiza_rustica,Emberiza
Embernagra_platensis,Embernagra
Empidonax_occidentalis,Empidonax
Empidonax_wrightii,Empidonax
Empidonomus_varius,Empidonomus
Eremophila_alpestris,Eremophila
Erithacus_rubecula,Erithacus
Estrilda_astrild,Estrilda
Eupetomena_macroura,Eupetomena
Euphagus_cyanocephalus,Euphagus
Euphonia_chlorotica,Euphonia
Euphonia_hirundinacea,Euphonia
Euphonia_violacea,Euphonia
Euplectes_orix,Euplectes
Falco_columbarius,Falco
Falco_mexicanus,Falco
Falco_peregrinus,Falco
Falco_sparverius,Falco
Falco_tinnunculus,Falco
Florisuga_fusca,Florisuga
Fluvicola_nengeta,Fluvicola
Forpus_xanthopterygius,Forpus
Fringilla_coelebs,Fringilla
Fringilla_montifringilla,Fringilla
Furnarius_rufus,Furnarius
Galerida_cristata,Galerida
Garrulus_glandarius,Garrulus
Geococcyx_californianus,Geococcyx
Geopelia_striata,Geopelia
Geothlypis_aequinoctialis,Geothlypis
Geothlypis_trichas,Geothlypis
Geranoaetus_melanoleucus,Geranoaetus
Gerygone_sulphurea,Gerygone
Glaucidium_brasilianum,Glaucidium
Glaucidium_nanum,Glaucidium
Glaucis_hirsutus,Glaucis
Guira_guira,Guira
Halcyon_smyrnensis,Halcyon
Haliaeetus_leucocephalus,Haliaeetus
Haliastur_indus,Haliastur
Heliomaster_furcifer,Heliomaster
Heliomaster_squamosus,Heliomaster
Hemitriccus_margaritaceiventer,Hemitriccus
Hieraaetus_pennatus,Hieraaetus
Hirundo_daurica,Hirundo
Hirundo_fuligula,Hirundo
Hirundo_rustica,Hirundo
Hirundo_tahitica,Hirundo
Hylocharis_chrysura,Hylocharis
Hylophilus_pectoralis,Hylophilus
Icterus_bullockii,Icterus
Icterus_galbula,Icterus
Icterus_graduacauda,Icterus
Icterus_wagleri,Icterus
Ixos_amaurotis,Ixos
Junco_hyemalis,Junco
Jynx_torquilla,Jynx
Lagonosticta_rhodopareia,Lagonosticta
Lalage_nigra,Lalage
Lamprotornis_nitens,Lamprotornis
Laniarius_ferrugineus,Laniarius
Lanius_bucephalus,Lanius
Lanius_collaris,Lanius
Lanius_cristatus,Lanius
Lanius_ludovicianus,Lanius
Lanius_schach,Lanius
Lanius_tephronotus,Lanius
Lepidocolaptes_angustirostris,Lepidocolaptes
Leptasthenura_aegithaloides,Leptasthenura
Leptotila_verreauxi,Leptotila
Lonchura_cucullata,Lonchura
Lonchura_punctulata,Lonchura
Loriculus_philippensis,Loriculus
Loxia_curvirostra,Loxia
Lullula_arborea,Lullula
Lybius_torquatus,Lybius
Machetornis_rixosa,Machetornis
Megaceryle_alcyon,Megaceryle
Megalaima_asiatica,Megalaima
Megalaima_haemacephala,Megalaima
Megalurus_palustris,Megalurus
Megalurus_timoriensis,Megalurus
Megarynchus_pitangua,Megarynchus
Megascops_choliba,Megascops
Melanerpes_aurifrons,Melanerpes
Melanerpes_candidus,Melanerpes
Melanerpes_formicivorus,Melanerpes
Melanerpes_uropygialis,Melanerpes
Melanotis_caerulescens,Melanotis
Melospiza_lincolnii,Melospiza
Melospiza_melodia,Melospiza
Merops_orientalis,Merops
Miliaria_calandra,Miliaria
Milvago_chimachima,Milvago
Milvago_chimango,Milvago
Milvus_migrans,Milvus
Mimus_polyglottos,Mimus
Mimus_saturninus,Mimus
Mimus_thenca,Mimus
Mniotilta_varia,Mniotilta
Molothrus_aeneus,Molothrus
Molothrus_ater,Molothrus
Molothrus_bonariensis,Molothrus
Monticola_solitarius,Monticola
Motacilla_alba,Motacilla
Motacilla_capensis,Motacilla
Motacilla_cinerea,Motacilla
Muscicapa_griseisticta,Muscicapa
Myiarchus_cinerascens,Myiarchus
Myiarchus_ferox,Myiarchus
Myiarchus_tyrannulus,Myiarchus
Myiophobus_fasciatus,Myiophobus
Myiopsitta_monachus,Myiopsitta
Myiozetetes_cayanensis,Myiozetetes
Myiozetetes_similis,Myiozetetes
Nandayus_nenday,Nandayus
Nectarinia_amethystina,Nectarinia
Nectarinia_asiatica,Nectarinia
Nectarinia_jugularis,Nectarinia
Nectarinia_sperata,Nectarinia
Nectarinia_talatala,Nectarinia
Nemosia_pileata,Nemosia
Nucifraga_caryocatactes,Nucifraga
Oenanthe_isabellina,Oenanthe
Oenanthe_picata,Oenanthe
Onychognathus_morio,Onychognathus
Oporornis_tolmiei,Oporornis
Oreoscoptes_montanus,Oreoscoptes
Oriolus_chinensis,Oriolus
Oriolus_larvatus,Oriolus
Ortalis_superciliaris,Ortalis
Ortalis_vetula,Ortalis
Orthotomus_sutorius,Orthotomus
Otus_bakkamoena,Otus
Pachyramphus_viridis,Pachyramphus
Pandion_haliaetus,Pandion
Panurus_biarmicus,Panurus
Parabuteo_unicinctus,Parabuteo
Paradoxornis_webbianus,Paradoxornis
Paroaria_coronata,Paroaria
Parula_pitiayumi,Parula
Parus_ater,Parus
Parus_caeruleus,Parus
Parus_cristatus,Parus
Parus_major,Parus
Parus_montanus,Parus
Parus_palustris,Parus
Parus_xanthogenys,Parus
Passer_diffusus,Passer
Passer_domesticus,Passer
Passer_melanurus,Passer
Passer_montanus,Passer
Passer_pyrrhonotus,Passer
Passerculus_sandwichensis,Passerculus
Passerina_amoena,Passerina
Passerina_caerulea,Passerina
Passerina_cyanea,Passerina
Patagioenas_araucana,Patagioenas
Patagioenas_cayennensis,Patagioenas
Patagioenas_maculosa,Patagioenas
Patagioenas_picazuro,Patagioenas
Penelope_obscura,Penelope
Perdix_perdix,Perdix
Phacellodomus_ruber,Phacellodomus
Phacellodomus_rufifrons,Phacellodomus
Phaeomyias_murina,Phaeomyias
Phaethornis_pretrei,Phaethornis
Phainopepla_nitens,Phainopepla
Phasianus_colchicus,Phasianus
Pheucticus_melanocephalus,Pheucticus
Phoenicurus_auroreus,Phoenicurus
Phoenicurus_frontalis,Phoenicurus
Phoenicurus_ochruros,Phoenicurus
Phrygilus_fruticeti,Phrygilus
Phylloscartes_ventralis,Phylloscartes
Phylloscopus_borealis,Phylloscopus
Phylloscopus_collybita,Phylloscopus
Phylloscopus_fuscatus,Phylloscopus
Phylloscopus_proregulus,Phylloscopus
Phylloscopus_reguloides,Phylloscopus
Phylloscopus_trochiloides,Phylloscopus
Phytotoma_rara,Phytotoma
Piaya_cayana,Piaya
Pica_pica,Pica
Picoides_scalaris,Picoides
Piculus_chrysochloros,Piculus
Picumnus_cirratus,Picumnus
Picus_canus,Picus
Picus_viridis,Picus
Pipilo_aberti,Pipilo
Pipilo_chlorurus,Pipilo
Pipilo_fuscus,Pipilo
Pipilo_maculatus,Pipilo
Piranga_flava,Piranga
Piranga_ludoviciana,Piranga
Piranga_rubra,Piranga
Pitangus_sulphuratus,Pitangus
Ploceus_velatus,Ploceus
Polioptila_caerulea,Polioptila
Polioptila_dumicola,Polioptila
Polioptila_melanura,Polioptila
Polioptila_plumbea,Polioptila
Pooecetes_gramineus,Pooecetes
Prinia_buchanani,Prinia
Prinia_burnesii,Prinia
Prinia_flavicans,Prinia
Prinia_flaviventris,Prinia
Prinia_gracilis,Prinia
Prinia_inornata,Prinia
Progne_chalybea,Progne
Progne_tapera,Progne
Prunella_modularis,Prunella
Psaltriparus_minimus,Psaltriparus
Psarocolius_decumanus,Psarocolius
Pseudoleistes_guirahuro,Pseudoleistes
Psittacula_eupatria,Psittacula
Psittacula_krameri,Psittacula
Pycnonotus_barbatus,Pycnonotus
Pycnonotus_cafer,Pycnonotus
Pycnonotus_goiavier,Pycnonotus
Pycnonotus_jocosus,Pycnonotus
Pycnonotus_leucotis,Pycnonotus
Pycnonotus_sinensis,Pycnonotus
Pygochelidon_cyanoleuca,Pygochelidon
Pyrocephalus_rubinus,Pyrocephalus
Pyrrhula_pyrrhula,Pyrrhula
Quiscalus_mexicanus,Quiscalus
Ramphastos_toco,Ramphastos
Ramphocelus_carbo,Ramphocelus
Regulus_calendula,Regulus
Regulus_ignicapilla,Regulus
Regulus_regulus,Regulus
Rhipidura_albicollis,Rhipidura
Rhipidura_aureola,Rhipidura
Rhyacornis_fuliginosa,Rhyacornis
Salpinctes_obsoletus,Salpinctes
Saltator_coerulescens,Saltator
Satrapa_icterophrys,Satrapa
Saxicola_caprata,Saxicola
Saxicola_torquatus,Saxicola
Saxicoloides_fulicatus,Saxicoloides
Sayornis_nigricans,Sayornis
Sayornis_phoebe,Sayornis
Sayornis_saya,Sayornis
Selasphorus_rufus,Selasphorus
Sephanoides_sephaniodes,Sephanoides
Serinus_atrogularis,Serinus
Serinus_gularis,Serinus
Serinus_mozambicus,Serinus
Serinus_serinus,Serinus
Serpophaga_subcristata,Serpophaga
Sialia_mexicana,Sialia
Sialia_sialis,Sialia
Sicalis_flaveola,Sicalis
Sicalis_luteola,Sicalis
Sigelus_silens,Sigelus
Sitta_canadensis,Sitta
Sitta_carolinensis,Sitta
Sitta_europaea,Sitta
Sphyrapicus_nuchalis,Sphyrapicus
Sphyrapicus_thyroideus,Sphyrapicus
Sphyrapicus_varius,Sphyrapicus
Spizella_atrogularis,Spizella
Spizella_breweri,Spizella
Spizella_pallida,Spizella
Spizella_passerina,Spizella
Sporophila_nigricollis,Sporophila
Sporophila_torqueola,Sporophila
Stelgidopteryx_serripennis,Stelgidopteryx
Stigmatopelia_chinensis,Stigmatopelia
Stigmatopelia_senegalensis,Stigmatopelia
Streptopelia_capicola,Streptopelia
Streptopelia_decaocto,Streptopelia
Streptopelia_orientalis,Streptopelia
Streptopelia_semitorquata,Streptopelia
Strix_aluco,Strix
Sturnella_loyca,Sturnella
Sturnella_militaris,Sturnella
Sturnella_neglecta,Sturnella
Sturnus_malabaricus,Sturnus
Sturnus_vulgaris,Sturnus
Sylvia_atricapilla,Sylvia
Sylvia_curruca,Sylvia
Sylvia_melanocephala,Sylvia
Synallaxis_albescens,Synallaxis
